Sex	Height	Weight	GPA	LArm	RArm	LFoot	RFoot
1	62.5	165	2.50	24.9	25.5	23.9	23.7
0	70.0	167	2.60	27.0	27.0	26.0	26.0
0	73.0	250	2.90	26.0	26.0	29.0	29.5
0	73.5	280	3.54	26.0	28.5	29.0	30.0
0	79.0	180	2.60	30.5	30.5	32.0	32.0
0	71.0	175	3.48	29.0	28.0	28.0	30.5
1	63.0	120	3.00	27.0	27.0	27.0	27.0
0	72.5	125	3.00	27.0	27.0	28.0	28.0
0	69.5	156	3.45	26.0	26.0	24.0	24.0
0	75.0	185	2.90	30.0	30.0	30.0	30.0
1	62.0	130	2.33	23.5	23.5	23.5	23.0
0	67.0	140	1.96	26.0	26.5	26.5	27.0
1	64.5	120	3.62	22.5	21.5	23.3	23.0
1	66.0	140	2.90	25.5	25.5	23.0	23.0
0	69.0	155	2.50	25.0	25.5	25.5	25.5
1	60.0	105	2.82	21.5	20.5	19.5	20.5
1	67.0	125	3.00	25.5	25.5	22.0	23.0
1	65.0	115	3.70	25.5	26.5	23.0	21.0
1	66.0	130	3.37	24.5	25.0	22.5	22.5
0	69.0	170	3.50	28.0	26.0	25.0	26.0
0	73.0	247	2.57	27.2	25.9	27.2	25.9
0	73.5	172	3.43	25.5	25.5	26.5	26.5
0	65.0	147	3.69	24.0	25.0	24.0	25.5
1	67.0	*	3.48	23.0	23.0	23.0	23.0
1	67.5	*	3.10	24.0	26.0	26.0	24.0
1	62.0	140	2.58	22.5	22.5	23.0	23.0
1	64.0	120	3.35	23.5	23.5	22.0	22.0
1	63.0	110	3.66	26.0	26.0	24.0	24.0
1	65.0	115	3.81	25.5	25.5	23.5	23.5
1	61.0	115	3.50	25.0	24.0	23.5	24.0
0	73.0	165	2.20	30.0	29.0	23.5	24.0
0	74.0	180	3.60	29.0	31.0	28.0	28.0
0	72.0	182	2.89	27.0	27.0	27.5	28.5
1	65.0	130	3.89	25.5	26.0	23.0	22.5
0	73.0	160	3.78	23.0	23.0	28.5	27.5
0	74.0	190	2.30	28.0	27.0	29.0	30.0
0	75.0	180	2.67	29.5	29.5	29.0	29.0
1	70.0	165	3.00	29.0	29.0	26.5	26.5
1	62.0	140	2.80	22.0	22.0	24.0	24.0
0	68.0	165	3.53	26.0	28.0	27.5	27.5
1	57.0	125	2.60	23.0	23.0	23.0	23.0
0	72.0	160	3.20	28.5	28.0	26.5	27.5
1	66.0	128	3.54	24.5	25.5	24.5	24.0
1	65.0	115	3.32	24.0	24.0	24.0	23.5
1	63.0	135	3.27	24.5	25.5	25.0	25.0
1	66.0	118	2.90	23.5	22.9	22.9	24.1
1	74.0	130	2.50	22.9	22.9	21.6	20.3
1	64.0	130	3.17	25.4	25.4	24.1	22.9
1	67.0	140	2.79	25.4	26.7	25.4	24.1
0	71.0	174	3.67	25.4	26.7	26.7	26.7
1	60.0	118	3.34	23.0	23.0	20.5	21.5
1	64.5	133	3.13	24.5	24.5	25.0	25.5
1	61.5	107	3.49	23.0	23.0	23.0	24.0
1	64.0	145	2.58	24.0	25.0	23.0	23.0
0	66.0	150	2.89	24.0	25.0	25.5	26.0
1	70.5	165	*	28.0	28.0	28.0	28.0
1	69.0	143	2.90	25.0	25.0	25.0	24.5
1	70.0	155	3.14	25.5	26.5	27.0	26.5
1	64.0	138	3.69	23.5	23.5	24.0	23.5
1	62.0	147	2.90	23.5	23.5	21.5	23.0
0	77.0	245	2.91	24.0	26.0	29.0	29.5
1	62.0	130	3.20	22.5	23.0	21.5	21.0
1	69.0	135	2.47	24.5	24.5	25.5	26.0
0	70.0	150	2.98	29.0	29.0	27.0	28.0
0	71.0	135	1.90	25.5	26.0	25.8	26.8
0	71.5	160	3.20	28.6	28.1	27.4	28.5
1	67.5	110	3.90	28.0	28.5	24.5	25.0
0	69.0	155	2.70	25.5	25.5	27.0	26.5
1	63.0	96	2.93	23.0	23.0	22.0	22.0
1	65.0	140	3.40	25.0	24.0	23.0	25.5
1	66.5	120	3.33	24.0	24.0	24.0	22.0
1	67.0	130	3.30	26.5	26.5	23.0	22.0
0	73.0	155	3.00	26.5	27.0	27.0	26.5
1	63.0	105	3.56	25.0	26.5	24.0	23.0
0	73.0	160	2.55	26.5	27.0	27.0	27.5
1	63.0	112	3.00	23.0	24.0	23.0	22.0
1	68.0	125	3.39	25.0	25.0	25.0	24.5
1	69.0	132	3.10	25.5	25.5	25.0	25.0
1	69.0	175	3.00	23.5	26.0	27.0	25.5
1	63.0	150	2.90	24.0	24.0	23.5	24.0
1	64.0	105	3.62	21.0	23.0	22.3	22.0
1	69.0	135	*	28.0	25.5	26.5	26.0
1	63.0	134	2.80	24.0	23.5	24.0	23.5
1	64.0	115	2.75	24.0	23.0	23.0	22.0
1	63.0	123	2.40	24.0	24.0	24.0	23.5
1	67.0	170	3.28	28.0	27.5	24.5	24.5
0	71.0	162	3.90	23.5	23.0	27.0	27.5
1	68.0	140	3.65	24.5	22.8	24.7	24.5
1	64.0	115	2.67	24.0	24.5	24.7	24.3
0	73.0	205	3.10	29.0	29.0	27.5	27.5
1	67.5	130	3.00	24.0	23.5	26.0	24.5
1	67.0	145	1.83	24.6	24.3	26.0	26.3
1	60.5	125	2.70	24.1	24.1	24.4	23.9
0	69.0	180	3.86	25.5	25.5	29.0	29.0
1	65.5	135	3.52	24.5	25.0	24.0	24.0
1	64.0	140	2.10	25.0	24.5	22.5	22.5
0	76.0	185	3.00	28.0	27.0	30.0	30.0
1	64.0	135	3.40	25.0	24.5	23.0	22.5
1	63.0	127	3.30	22.0	22.0	24.0	25.0
1	62.0	115	2.17	23.5	24.0	22.7	23.0
1	62.0	135	*	25.0	25.0	22.8	23.0
1	70.5	142	3.58	24.5	25.0	26.0	26.5
1	67.0	140	3.44	24.0	24.5	25.0	24.5
1	68.0	135	2.20	24.0	24.0	25.5	25.5
0	71.0	178	3.20	29.5	28.5	29.0	28.5
1	67.0	135	*	25.0	25.0	25.5	25.0
1	64.0	127	2.20	26.5	26.5	26.5	26.5
1	70.0	153	3.17	22.0	22.0	23.5	23.5
1	62.0	110	3.44	21.5	21.5	23.5	22.5
0	73.0	165	3.62	28.0	28.4	30.6	31.4
0	79.0	165	2.45	28.0	25.0	29.0	27.5
0	75.0	160	3.80	27.5	27.5	29.0	27.6
0	71.0	170	3.20	28.0	27.0	31.0	31.3
1	65.0	117	2.70	24.1	24.1	24.1	24.1
0	69.5	185	3.20	26.5	27.0	27.0	27.0
